Key,City,Name,Conference,Division,FullName,StadiumID,ByeWeek,AverageDraftPosition,AverageDraftPositionPPR,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,DraftKingsName,DraftKingsPlayerID,FanDuelName,FanDuelPlayerID
IND,Indianapolis,Colts,AFC,South,Indianapolis Colts,9,14,139.50,148.40,013369,FFFFFF,A5ACAF,1D252C,https://upload.wikimedia.org/wikipedia/commons/0/00/Indianapolis_Colts_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/58/Indianapolis_Colts_new_wordmark.svg,Colts ,338,Indianapolis Colts,12535
JAX,Jacksonville,Jaguars,AFC,South,Jacksonville Jaguars,10,11,185.00,192.00,006778,000000,9F792C,,https://upload.wikimedia.org/wikipedia/en/7/74/Jacksonville_Jaguars_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Jacksonville_Jaguars_wordmark.svg,Jaguars ,365,Jacksonville Jaguars,12554
KC,Kansas City,Chiefs,AFC,West,Kansas City Chiefs,15,8,155.10,151.30,E31837,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/e/e1/Kansas_City_Chiefs_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/Kansas_City_Chiefs_wordmark.svg,Chiefs ,339,Kansas City Chiefs,12536
LAC,Los Angeles,Chargers,AFC,West,Los Angeles Chargers,54,8,145.20,145.70,0080C6,FFC20E,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/a/a6/Los_Angeles_Chargers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Los_Angeles_Chargers_2020_wordmark.svg,Chargers ,357,Los Angeles Chargers,12548
LAR,Los Angeles,Rams,NFC,West,Los Angeles Rams,54,7,125.10,129.80,003594,FFD100,,,https://upload.wikimedia.org/wikipedia/en/8/8a/Los_Angeles_Rams_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/LA_Rams_wordmark.svg,Rams ,343,Los Angeles Rams,12538
LARAID,Los Angeles,Raiders,AFC,West,Los Angeles Raiders,,,,,,,,,,,,,,
LARAMS,Los Angeles,Rams,NFC,West,Los Angeles Rams,,,,,,,,,,,,,,
LV,Las Vegas,Raiders,AFC,West,Las Vegas Raiders,53,6,143.60,190.00,A5ACAF,000000,,,https://upload.wikimedia.org/wikipedia/en/4/48/Las_Vegas_Raiders_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/Las_Vegas_Raiders_wordmark.svg,Raiders ,341,Las Vegas Raiders,12537
MIA,Miami,Dolphins,AFC,East,Miami Dolphins,2,11,156.90,158.90,008E97,FC4C02,FFFFFF,005778,https://upload.wikimedia.org/wikipedia/en/3/37/Miami_Dolphins_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Dolphins_textlogo13.png,Dolphins ,345,Miami Dolphins,12539
MIN,Minnesota,Vikings,NFC,North,Minnesota Vikings,42,7,157.70,156.70,4F2683,FFC62F,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/48/Minnesota_Vikings_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Minnesota_Vikings_wordmark.svg,Vikings ,347,Minnesota Vikings,12540
NE,New England,Patriots,AFC,East,New England Patriots,4,10,154.70,164.60,002244,C60C30,B0B7BC,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/b9/New_England_Patriots_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f5/New_England_Patriots_wordmark.svg,Patriots ,348,New England Patriots,12541
NFC,NFC,All Pros,NFC,None,NFC All Pros,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/National_Football_Conference_logo.svg,,All-Pros NFC,479,NFC All-Pros,12915
NO,New Orleans,Saints,NFC,South,New Orleans Saints,27,14,156.90,156.80,D3BC8D,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/5/50/New_Orleans_Saints_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/10/New_Orleans_Saints_first_wordmark.png,Saints ,350,New Orleans Saints,12542
NYG,New York,Giants,NFC,East,New York Giants,3,9,173.00,180.00,0B2265,A71930,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/6/60/New_York_Giants_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nygiants_textlogo.png,Giants ,351,New York Giants,12543
NYJ,New York,Jets,AFC,East,New York Jets,3,10,147.20,130.80,115740,FFFFFF,000000,,https://upload.wikimedia.org/wikipedia/en/6/6b/New_York_Jets_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/b6/New_York_Jets_wordmark.svg,Jets ,352,New York Jets,12544
PHI,Philadelphia,Eagles,NFC,East,Philadelphia Eagles,18,7,156.30,160.70,004851,A2AAAD,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/en/8/8e/Philadelphia_Eagles_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Eagles_New_Wordmark_2022-present.png,Eagles ,354,Philadelphia Eagles,12545
PHO,Phoenix,Cardinals,NFC,West,Phoenix Cardinals,,,,,,,,,,,,,,
PIT,Pittsburgh,Steelers,AFC,North,Pittsburgh Steelers,8,9,138.50,147.00,000000,FFB612,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Pittsburgh_Steelers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Pittsburgh_Steelers_Script.svg,Steelers ,356,Pittsburgh Steelers,12547
SEA,Seattle,Seahawks,NFC,West,Seattle Seahawks,31,11,108.50,178.00,002244,69BE28,A5ACAF,,https://upload.wikimedia.org/wikipedia/en/8/8e/Seattle_Seahawks_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/df/Seattle_Seahawks_wordmark.svg,Seahawks ,361,Seattle Seahawks,12550
SF,San Francisco,49ers,NFC,West,San Francisco 49ers,37,9,140.00,140.90,AA0000,B3995D,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/3/3a/San_Francisco_49ers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/2/24/San_Francisco_49ers_wordmark.svg,49ers ,359,San Francisco 49ers,12549
TB,Tampa Bay,Buccaneers,NFC,South,Tampa Bay Buccaneers,24,11,129.90,138.90,A71930,322F2B,DC4405,000000,https://upload.wikimedia.org/wikipedia/en/a/a2/Tampa_Bay_Buccaneers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Tampa_Bay_Buccaneers_wordmark.svg,Buccaneers ,362,Tampa Bay Buccaneers,12551
TEN,Tennessee,Titans,AFC,South,Tennessee Titans,12,6,147.40,164.60,002244,4B92DB,C60C30,A5ACAF,https://upload.wikimedia.org/wikipedia/en/c/c1/Tennessee_Titans_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/75/Tennessee_Titans_wordmark%2C_2018.svg,Titans ,336,Tennessee Titans,12534
WAS,Washington,Commanders,NFC,East,Washington Commanders,19,14,159.60,160.50,5A1414,FFB612,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Washington_Commanders_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/76/Washingtoncommanders_wordmark.svg,Commanders ,363,Washington Commanders,12552
