SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
1,2021,GB,371.00,2.00,39.00,297.00,10.00,10.00,0.00,18.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,17,93.00,51.00,2.00,0,119.00,371.00,,,0.00,121.00,121.00,12,,,12
2,2021,GB,68.00,0.00,4.00,31.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,11.00,7.00,0.00,0,7.00,68.00,,,0.00,7.00,7.00,12,,,12
3,2021,GB,13.00,0.00,4.00,25.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,7.00,8.00,0.00,0,10.00,13.00,,,0.00,10.00,10.00,12,,,12
2,2021,HOU,44.00,1.00,11.00,76.00,4.00,5.00,0.00,5.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,3,12.00,21.00,1.00,0,44.00,44.00,,,0.00,46.00,46.00,13,,,13
1,2021,HOU,452.00,2.00,32.00,225.00,16.00,8.00,0.00,17.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,17,71.00,81.00,1.00,1,87.00,452.00,,,0.00,87.00,87.00,13,,,13
1,2021,IND,365.00,3.00,33.00,223.00,18.00,16.00,1.00,19.00,0.00,2.00,1.00,0.00,0.00,2.00,0.00,17,86.00,56.00,1.00,2,138.00,359.00,,,0.00,142.00,142.00,14,,,14
2,2021,IND,45.00,0.00,6.00,31.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,16.00,12.00,0.00,0,21.00,39.00,,,0.00,21.00,21.00,14,,,14
2,2021,JAX,60.00,0.00,3.00,22.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,14.00,9.00,0.00,0,4.00,60.00,,,0.00,4.00,4.00,52,,,15
1,2021,JAX,457.00,3.00,32.00,236.00,9.00,3.00,1.00,7.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,17,83.00,63.00,1.00,2,67.00,445.00,,,0.00,67.00,67.00,52,,,15
1,2021,KC,364.00,4.00,31.00,209.00,18.00,15.00,2.00,15.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,17,91.00,55.00,4.00,0,131.00,358.00,,,0.00,133.00,133.00,55,,,16
2,2021,KC,51.00,0.00,12.00,81.00,5.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,16.00,13.00,0.00,0,28.00,45.00,,,0.00,28.00,28.00,55,,,16
3,2021,KC,84.00,0.00,5.00,37.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,10.00,11.00,0.00,0,6.00,78.00,,,0.00,6.00,6.00,55,,,16
2,2021,LAC,48.00,0.00,5.00,19.00,1.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,13.00,12.00,0.00,0,24.00,40.00,,,0.00,24.00,24.00,84,,,29
1,2021,LAC,459.00,2.00,35.00,231.00,19.00,10.00,1.00,11.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,17,88.00,65.00,1.00,1,78.00,441.00,,,0.00,78.00,78.00,84,,,29
1,2021,LAR,372.00,1.00,50.00,367.00,14.00,6.00,0.00,19.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,17,95.00,85.00,0.00,1,121.00,342.00,,,0.00,121.00,121.00,32,,,32
2,2021,LAR,47.00,0.00,6.00,48.00,2.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,11.00,11.00,0.00,0,20.00,47.00,,,0.00,20.00,20.00,32,,,32
3,2021,LAR,75.00,1.00,12.00,79.00,1.00,1.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4,25.00,20.00,1.00,0,34.00,75.00,,,0.00,34.00,34.00,32,,,32
2,2021,LV,57.00,0.00,2.00,14.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3,6.00,9.00,0.00,0,8.00,57.00,,,0.00,10.00,10.00,83,,,25
3,2021,LV,26.00,0.00,2.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,5.00,5.00,0.00,0,2.00,26.00,,,0.00,2.00,2.00,83,,,25
1,2021,LV,439.00,0.00,35.00,207.00,13.00,11.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,17,113.00,65.00,0.00,0,69.00,421.00,,,0.00,69.00,69.00,83,,,25
1,2021,MIA,373.00,6.00,48.00,380.00,14.00,14.00,2.00,14.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,17,128.00,73.00,5.00,1,155.00,365.00,,,0.00,157.00,157.00,64,,,19
2,2021,MIA,63.00,0.00,4.00,23.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3,6.00,8.00,0.00,0,10.00,63.00,,,0.00,10.00,10.00,64,,,19
2,2021,MIN,73.00,2.00,3.00,20.00,1.00,2.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3,11.00,10.00,2.00,0,28.00,65.00,,,0.00,28.00,28.00,67,,,20
1,2021,MIN,426.00,4.00,51.00,378.00,13.00,9.00,0.00,16.00,2.00,1.00,0.00,0.00,2.00,0.00,0.00,17,99.00,61.00,2.00,2,123.00,426.00,,,0.00,125.00,125.00,67,,,20
1,2021,NE,303.00,3.00,36.00,256.00,11.00,7.00,0.00,23.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,17,86.00,60.00,3.00,0,158.00,279.00,,,0.00,158.00,158.00,21,,,21
2,2021,NE,33.00,0.00,10.00,63.00,2.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,17.00,12.00,0.00,0,35.00,33.00,,,0.00,35.00,35.00,21,,,21
3,2021,NE,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,0.00,0,-4.00,47.00,,,0.00,0.00,0.00,21,,,21
5,2021,NFC,41.00,1.00,4.00,15.00,1.00,1.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1,4.00,4.00,1.00,0,17.00,29.00,,,0.00,17.00,17.00,106,,,37
2,2021,NO,38.00,0.00,4.00,21.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,10.00,7.00,0.00,0,11.00,38.00,,,0.00,11.00,11.00,69,,,22
1,2021,NO,335.00,2.00,46.00,310.00,13.00,7.00,0.00,18.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,17,113.00,88.00,2.00,0,141.00,317.00,,,0.00,145.00,145.00,69,,,22
1,2021,NYG,416.00,1.00,34.00,205.00,12.00,9.00,0.00,15.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,17,79.00,53.00,1.00,0,91.00,396.00,,,0.00,91.00,91.00,75,,,23
2,2021,NYG,51.00,0.00,8.00,47.00,4.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,12.00,12.00,0.00,0,19.00,49.00,,,0.00,19.00,19.00,75,,,23
2,2021,NYJ,52.00,0.00,8.00,49.00,4.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3,17.00,13.00,0.00,0,23.00,46.00,,,0.00,23.00,23.00,82,,,24
1,2021,NYJ,504.00,2.00,33.00,273.00,13.00,7.00,0.00,7.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,17,88.00,71.00,1.00,1,59.00,498.00,,,0.00,59.00,59.00,82,,,24
1,2021,PHI,385.00,5.00,29.00,220.00,13.00,4.00,3.00,12.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,17,83.00,70.00,5.00,0,107.00,377.00,,,0.00,111.00,111.00,26,,,26
2,2021,PHI,90.00,1.00,4.00,22.00,3.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,8.00,12.00,1.00,0,13.00,90.00,,,0.00,13.00,13.00,26,,,26
3,2021,PHI,31.00,0.00,4.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6.00,8.00,0.00,0,3.00,31.00,,,0.00,3.00,3.00,26,,,26
2,2021,PIT,73.00,0.00,9.00,56.00,3.00,2.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4,26.00,15.00,0.00,0,27.00,73.00,,,0.00,29.00,29.00,28,,,28
1,2021,PIT,398.00,1.00,55.00,321.00,18.00,10.00,0.00,13.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,17,106.00,94.00,0.00,1,109.00,386.00,,,0.00,113.00,113.00,28,,,28
3,2021,PIT,42.00,1.00,3.00,34.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,7.00,8.00,1.00,0,9.00,42.00,,,0.00,9.00,9.00,28,,,28
1,2021,SEA,366.00,1.00,34.00,253.00,7.00,7.00,0.00,11.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,17,92.00,68.00,0.00,1,93.00,360.00,,,1.00,93.00,93.00,90,,,30
2,2021,SEA,50.00,1.00,11.00,64.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,14.00,14.00,1.00,0,32.00,44.00,,,0.00,32.00,32.00,90,,,30
2,2021,SF,39.00,0.00,12.00,74.00,1.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3,21.00,19.00,0.00,0,29.00,39.00,,,0.00,29.00,29.00,93,,,31
1,2021,SF,365.00,2.00,48.00,364.00,21.00,12.00,0.00,9.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,17,103.00,98.00,2.00,0,118.00,363.00,,,0.00,120.00,120.00,93,,,31
3,2021,SF,47.00,1.00,12.00,80.00,3.00,1.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,3,29.00,13.00,0.00,1,30.00,47.00,,,0.00,34.00,34.00,93,,,31
1,2021,TB,353.00,2.00,47.00,285.00,16.00,13.00,0.00,17.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,17,127.00,82.00,2.00,0,143.00,341.00,,,0.00,143.00,143.00,95,,,33
3,2021,TB,45.00,0.00,4.00,25.00,4.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,18.00,12.00,0.00,0,18.00,45.00,,,0.00,18.00,18.00,95,,,33
2,2021,TB,69.00,1.00,6.00,50.00,4.00,5.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3,13.00,20.00,1.00,0,33.00,61.00,,,0.00,33.00,33.00,95,,,33
2,2021,TEN,33.00,1.00,9.00,57.00,4.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,18.00,9.00,1.00,0,37.00,27.00,,,0.00,37.00,37.00,34,,,34
1,2021,TEN,354.00,3.00,43.00,316.00,13.00,6.00,1.00,16.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,17,93.00,69.00,3.00,0,123.00,354.00,,,0.00,123.00,123.00,34,,,34
3,2021,TEN,19.00,0.00,9.00,68.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,13.00,8.00,0.00,0,12.00,19.00,,,0.00,12.00,12.00,34,,,34
1,2021,WAS,434.00,4.00,38.00,187.00,9.00,8.00,1.00,11.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,17,104.00,59.00,3.00,1,101.00,420.00,,,0.00,103.00,103.00,97,,,35
2,2021,WAS,72.00,0.00,4.00,19.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,9.00,6.00,0.00,0,6.00,72.00,,,0.00,6.00,6.00,97,,,35
