PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
13018,1,2021,LAC,25,Chris Harris Jr.,CB,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.80,28.40,0.90,0.40,2.80,0.80,4.60,1.20,0.60,0.10,1.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,89.48,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,626.00,661.00,29
15076,1,2021,LAC,13,Keenan Allen,WR,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,1.20,6.80,7,0.00,0.00,159.70,105.40,1134.90,10.8,6.50,0.00,0.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151.77,WR,,0.00,23,25,204.47,0.00,0.00,0.00,0.00,0.00,257.87,30.70,25.90,29
16976,1,2021,LAC,95,Christian Covington,DE,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.90,9.40,1.90,0.80,5.60,1.70,0.50,0.50,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.26,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,843.00,879.00,29
17118,1,2021,LAC,1,Ty Long,K,ST,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,K,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,854.00,890.00,29
17915,1,2021,LAC,97,Joey Bosa,DE,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.70,21.40,25.40,10.80,75.60,22.70,2.00,0.90,0.40,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,139.06,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,877.00,913.00,29
18016,1,2021,LAC,52,Kyler Fackrell,OLB,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,6.40,4.00,1.70,11.90,3.60,0.50,0.30,0.20,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,31.69,LB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,926.00,962.00,29
18262,1,2021,LAC,82,Stephen Anderson,TE,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,14.00,5.70,63.50,10.7,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.55,TE,,0.00,0,0,10.40,0.00,0.00,0.00,0.00,0.00,13.25,536.00,554.00,29
18332,1,2021,LAC,23,Ryan Smith,CB,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,1.60,0.00,0.00,0.00,0.00,0.30,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,29
18914,1,2021,LAC,81,Mike Williams,WR,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.20,0.80,0,0.00,0.00,100.40,57.50,905.60,15.6,7.00,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.84,WR,,0.00,6,6,160.59,0.00,0.00,0.00,0.00,0.00,189.74,108.30,119.70,29
19560,1,2021,LAC,43,Michael Davis,CB,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.60,28.30,0.00,0.00,0.00,0.00,9.60,1.20,0.60,0.10,2.50,0.20,0.00,0.00,0.00,0.00,0.00,0.00,95.05,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1146.00,1182.00,29
